event_id,name,clean_description,location_room,start_date_clean,start_time_clean,end_time_clean,duration,pre_reg_flag,paid_flag,laptop_flag,speakers_cleaned,session_type,keywords,skill_level
3492,Interactive data graphics in Tableau Public (Hosted by Tableau),"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to: •Connect to Excel files and other data •Create maps and charts •Make them interactive •Publish them on your site Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class. Limited seats are available. There may be a few seats available on-site. ",Great America,2018-03-08,09:00:00,10:30:00,1.5,FALSE,FALSE,FALSE,"Scott Teal, Tableau Software",Hands-on,"Data viz & design, Tableau",NA
3493,Show where the story is happening with maps in Tableau Public (Hosted by Tableau),"Maps are where it’s at, and with the addition of spatial file support you can viz outside the box too. In this session you will learn different methods for building maps in Tableau Public. We will teach you how to: •determine what kind of mapping data you’re looking at •take advantage of spatial file support in Tableau Public •beautify maps with built-in and Mapbox-supported backgrounds •integrate maps into your dashboards •utilize design and layout best practices to make sure that your visualization looks polished and professional Tableau Public is a free tool for journalists. Some familiarity with the product is recommended; a beginner session earlier in the day should prepare you enough for this session. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class. Limited seats are available. There may be a few seats available on-site. ",Great America,2018-03-08,11:00:00,12:30:00,1.5,FALSE,FALSE,FALSE,"Ben Jones, Tableau Software",Hands-on,"Data viz & design, Tableau",Beginner
3494,Finding and telling data stories with Tableau Public (Hosted by Tableau),"Got a dataset and an impending deadline to write a story on it? Find the scoop and convey it with beautiful, interactive visualizations in a serial narrative using Tableau Public. It’s a fast, easy to use, and free tool for journalists. Visualizations will publish using any CMS and no programming is required. We’ll teach you how to: •Connect to Excel files and other file types •Rapidly explore and analyze datasets with ease •Make eye-catching visualizations to share your findings •Add interactivity and arrange them in a serial narrative to engage and sustain your audience’s attention No previous experience with Tableau is necessary to attend. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class. Limited seats are available. There may be a few seats available on-site. ",Great America,2018-03-08,13:30:00,15:00:00,1.5,FALSE,FALSE,FALSE,"Ben Jones, Tableau Software",Hands-on,"Data viz & design, Tableau",Beginner
3495,Overview of data journalism curriculum for universities (Hosted by Tableau),"Do you want to start teaching data journalism to university students or do you want to take your current program to a new level? Could your newsroom benefit from helpful tutorials and example files? With the current climate of news, journalistic integrity is more important than ever. Telling stories with data is an effective way to ensure the facts are being shown in a compelling way. Visual analytics bring complex stories to life for readers – a skill the next generation of journalists must be prepared for. Join this session to learn more about: •The importance of teaching aspiring journalists data literacy •The new Introduction to Data Journalism course curriculum, including learning objectives and module components •A hands-on walk through of the content and examples •The process for accessing the ready-make materials Some experience with Tableau Public is recommended. Taking one of the earlier Tableau sessions should suffice. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class. Limited seats are available. There may be a few seats available on-site. ",Great America,2018-03-08,15:30:00,17:00:00,1.5,FALSE,FALSE,FALSE,"Cheryl Philips, Stanford University",Hands-on,"Education, Tableau",Advanced
3496,PyCAR (intermediate) *pre-registered attendees only,"This hands-on workshop will teach journalists basic programming concepts using the Python language. The daylong class will introduce language basics and useful libraries in the course of a typical reporting project: scraping data from the web, inserting it in a database and analyzing the results. Although the class is geared toward beginners, we'll assume that you're comfortable with databases and SQL and that you've hopefully seen a command line since the days of DOS. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: Attendees should have familiarity with the command line and be comfortable with databases and SQL. This class takes place on Thursday, March 8 from 9 am - 12:30 pm and continues Friday, March 9, 9 a.m. - 12:30 p.m. (Registration for this session reserves your seat for both days of this workshop and attendees are expected to attend both sessions to complete the workshop.) ",Lincolnshire,2018-03-08,09:00:00,12:30:00,3.5,TRUE,TRUE,FALSE,"Anna Flagg, The Marshall Project; Tom Meagher, The Marshall Project; Jacob Quinn Sanders, War Streets Media; Eric Sagara, Reveal from The Center for Investigative Reporting; Sara Simon, The New York Times; Moiz Syed, The Intercept; Aaron Williams, The Washington Post; Elaine Wong, CBC",Hands-on,"Programming, Python",Beginner
3498,Exploring the tidyverse in R (intermediate) *pre-registered attendees only,"Spend a day with RStudio's Hadley Wickham as you learn how to use tidyverse. This collection of R packages will help you make your data journalism more efficient, stronger and fun. Learn how to import, clean, analyze and plot data for your stories. If you've used packages like dplyr, tidyr, readr, ggplot2, tibble and purr, or would like to learn more about how these work together, this class is for you. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: You should be comfortable working with R and RStudio. You should also be familiar with basic data analysis. ",Purdue/Wisconsin,2018-03-08,09:00:00,17:45:00,8.75,TRUE,TRUE,FALSE,"Hadley Wickham, RStudio",Hands-on,"Programming, R",Intermediate
3499,How to find stories in data through visualization (intermediate) *pre-registered attendees only,"Working with data is a kind of interview - it is a complex back-and-forth, drawing out the expressiveness of data. The process is often visual, depending heavily on a sequence of graphical displays, ""visualizations."" This three-hour workshop will focus on the concepts and skills you need to use data visualization effectively as part of your reporting practice - to conduct a data interview. You will learn how to spot trends, highlight changes over time, identify outliers, make meaningful comparisons, and describe important patterns in your data - all through the effective use of visualization strategies. This class will be based in the R language, and distributed through Jupyter notebooks. These pre-built examples can later be customized to suit your own projects when you return to your newsroom. Preregistration is required and seating is limited. Attendees must bring a laptop and charger to the training. Workshop prerequisites: You should be comfortable working with data and not be scared of code, though no previous coding experience is necessary. ",Grace,2018-03-09,09:00:00,12:30:00,3.5,TRUE,TRUE,TRUE,"Alberto Cairo; University of Miami; Mark Hansen, Columbia Journalism School; Olga Pierce, ProPublica; Rachael Tatman, Kaggle",Hands-on,"Data viz & design, R",Beginner
3500,MapCamp: QGIS (intermediate) *pre-registered attendees only,"Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp. IRE and NICAR trainers conduct this hands-on training using the latest version of QGIS, open source-software that runs on all platforms. We will look at noteworthy stories that have used mapping and show you how to uncover stories using census and other data. You’ll learn how to display data geographically; import and query data; geocode to merge databases with addresses into maps. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: Participants should have basic knowledge in using relational database programs such as Microsoft Access, MySQL or SQLite. ",Sheffield,2018-03-09,09:00:00,16:30:00,7.5,TRUE,TRUE,FALSE,"David Herzog, IRE/NICAR; Jennifer LaFleur, Investigative Reporting Workshop",Hands-on,"Mapping, QGIS",Intermediate
3501,First Python Notebook: Rapid data analysis in the newsroom (beginner/intermediate) *pre-registered attendees only,"Ben Welsh, James Gordon and Cheryl Phillips teach data analysis with Python. Their 6-hour, hands-on tutorial will guide you through an investigation of money in politics. You will learn: 1) Just enough Python to execute an analysis with the powerful pandas data analysis library, one of the most popular open-source tools for working with large data files. 2) How to record, remix and republish your work using the Jupyter Notebook, a browser-based tool emerging as the standard for reproducible research in the sciences. 3) Most important of all, how these tools increase the speed and veracity of your journalism. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: If you've tried Python once or twice, have good attitude and know how to take a few code crashes in stride, you are qualified for this class. ",Great America,2018-03-09,09:00:00,16:30:00,7.5,TRUE,TRUE,FALSE,"James Gordon, Reynolds Journalism Institute; Cheryl Phillips, Stanford University; Ben Welsh, The Los Angeles Times",Hands-on,"Programming, Python",Intermediate
3502,Digging into data for stories: A crash course (beginner) *pre-registered attendees only,"**Speakers are IRE/NICAR Staff Kickstart your data skills with IRE's original mini-boot camp. This series of hands-on classes will introduce you to spreadsheets and databases with IRE's proven techniques. IRE's experienced trainers will walk you through sorting, calculating and interviewing data. You'll come away with a solid base for using data analysis in your own newsroom. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: There are no prerequisites for this workshop and beginners are welcome. This workshop is good for those wanting to get started analyzing data for stories. Workshop times are Friday, March 9, 2:15pm - 4:30pm; Saturday, March 10, 2:15pm - 5:45pm; Sunday, March 11, 9:00am - 12:30pm. Registration for this session reserves your seat for all days of this workshop and attendees are expected to attend all sessions to complete the workshop. ",Michigan/Michigan St & Purdue/Wisconsin,2018-03-09,14:15:00,16:30:00,2.25,TRUE,TRUE,FALSE,IRE/NICAR Staff,Hands-on,"Data analysis, Excel",Beginner
